#Name Ra Dec Flux[V] maj_ax min_ax
NGC334 14.70757875 -35.11607194444444 -- 0.547 0.426
NGC335 14.832445833333333 -18.234586111111113 -- 0.973 0.234
NGC336 14.5117875 -18.384249999999998 -- 0.667 0.133
NGC337 14.958708333333332 -7.577961111111111 11.61 2.88 1.78
NGC338 15.151670416666668 30.66896611111111 -- 1.28 0.486
NGC339 14.448416666666665 -74.47072222222222 12.21 2.9 2.9
NGC340 15.145425833333332 -6.866502499999999 -- 0.713 0.3
NGC341 15.1908875 -9.18576388888889 -- 0.773 0.526
NGC342 15.20773375 -6.772541944444445 -- 0.627 0.363
NGC344 15.39816208333333 -23.264795 -- 0.253 0.218
NGC345 15.342029166666665 -6.884260555555555 -- 0.903 0.56
NGC346 14.768333333333333 -72.17750000000001 -- -- --
NGC347 15.396479166666664 -6.733669444444445 -- 0.387 0.263
NGC348 15.216550416666667 -53.24446777777778 -- 0.553 0.387
NGC349 15.461522916666667 -6.799735 -- 0.887 0.798
NGC350 15.486272916666666 -6.795678333333333 -- 0.54 0.378
NGC351 15.49093125 -1.9366963888888888 -- 1.13 0.52
NGC352 15.538358333333337 -4.245447222222222 -- 1.717 0.515
NGC353 15.6022625 -1.9590555555555556 -- 0.863 0.294
NGC354 15.818206666666667 22.342595555555555 -- 0.753 0.392
NGC355 15.779037083333336 -6.323854166666666 -- 0.313 0.276
NGC356 15.779552500000001 -6.988326111111111 -- 1.05 0.651
NGC357 15.841157083333336 -6.339189722222222 -- 1.59 1.304
NGC358 16.295833333333334 62.02166666666667 -- -- --
NGC359 16.070687916666667 0.7649105555555555 -- 0.67 0.496
NGC360 15.714451666666669 -65.60990333333332 -- 2.387 0.334
NGC361 15.546291666666669 -71.60702777777777 11.77 2.6 2.6
NGC362 15.809416666666667 -70.84877777777777 6.58 12.9 12.9
NGC363 16.56579166666667 -16.54278888888889 -- 0.48 0.355
NGC364 16.170127916666665 0.8027472222222223 -- 0.797 0.621
NGC365 16.078017916666663 -35.121340277777776 -- 0.547 0.317
NGC366 16.624166666666667 62.21888888888889 -- 4.6 4.6
NGC367 16.453724166666667 -12.128497777777778 -- 0.473 0.227
NGC368 16.091785416666667 -43.27672333333333 -- 0.46 0.432
NGC369 16.287064166666664 -17.75919222222222 -- 0.497 0.397
NGC371 15.854166666666668 -72.07333333333334 -- -- --
NGC373 16.742555833333334 32.30844972222222 -- 0.333 0.26
NGC374 16.77413125 32.79507472222222 -- 1.007 0.463
NGC375 16.774666666666665 32.34811027777778 -- 0.34 0.279
NGC376 15.959208333333333 -72.82597222222222 10.9 1.8 1.8
NGC378 16.55080291666667 -30.178138055555557 -- 0.573 0.47
NGC379 16.815439166666664 32.520449722222224 -- 0.933 0.523
NGC380 16.823337083333335 32.4829025 -- 0.863 0.846
NGC381 17.082916666666666 61.58388888888889 -- 11.2 11.2
NGC382 16.84945833333333 32.40386111111111 -- 0.2 0.2
NGC383 16.854019583333333 32.41253666666667 12.14 1.367 1.148
NGC384 16.854222916666668 32.292740277777774 -- 0.6 0.444
NGC385 16.86345875 32.31986388888889 -- 0.673 0.66
NGC386 16.880447916666668 32.36192666666667 -- 0.4 0.32
NGC387 16.887714583333334 32.39105027777778 -- 0.263 0.211
NGC388 16.946481249999998 32.309931111111105 -- 0.41 0.238
NGC389 17.124721666666666 39.69542944444444 -- 0.72 0.331
NGC390 17.05397208333333 32.45362777777778 -- 0.417 0.225
NGC391 16.84407458333333 0.9259572222222222 -- 0.603 0.471
NGC392 17.0977875 33.13368333333333 12.71 0.933 0.653
NGC393 17.1539775 39.644238055555554 -- 1.01 0.828
NGC394 17.10846625 33.14794388888889 13.83 0.503 0.312
NGC395 16.28333333333333 -71.99694444444445 -- 1.5 1.1
NGC396 17.035085833333333 4.5309175 -- 0.297 0.202
NGC397 17.129667083333334 33.1091775 14.58 0.387 0.271
NGC398 17.223691666666667 32.51452166666667 -- 0.55 0.286
NGC399 17.2466975 32.634234444444445 -- 0.887 0.408
NGC403 17.308979166666663 32.752090277777775 -- 1.67 0.534
NGC404 17.362583333333333 35.71813888888889 11.73 6.0 6.0
NGC406 16.85441666666667 -69.87924166666666 -- 1.143 0.366
NGC407 17.652425 33.12643333333333 -- 1.33 0.319
NGC408 17.71080166666667 33.11342027777778 -- 0.27 0.243
NGC409 17.388381666666664 -35.80558416666666 -- 0.697 0.599
NGC410 17.745423333333335 33.151959166666664 11.48 1.567 1.159
NGC411 16.981833333333334 -71.76752777777777 12.1 2.1 1.9
NGC412 16.646225 -20.33222222222222 -- 0.58 0.197
NGC413 18.130777916666666 -2.793433333333333 -- 0.59 0.354
NGC414 17.822807083333334 33.113859444444444 -- 0.637 0.522
NGC415 17.52362125 -35.49086833333333 -- 0.633 0.393
NGC416 16.995958333333334 -72.35569444444444 11.76 1.7 1.7
NGC417 17.773124583333335 -18.14830611111111 -- 0.47 0.385
NGC418 17.648465 -30.22102861111111 -- 0.92 0.662
NGC419 17.071916666666667 -72.88383333333334 10.5 2.8 2.8
NGC420 18.040154583333333 32.12316305555556 -- 0.833 0.75
NGC422 17.352083333333333 -71.76638888888888 13.26 1.0 1.0
NGC423 17.842631666666666 -29.234571388888888 -- 0.783 0.298
NGC424 17.86516041666667 -38.08345027777778 14.12 1.143 0.503
NGC425 18.260792083333335 38.768415 -- 0.67 0.616
NGC426 18.202509999999997 0.2902036111111111 15.58 0.817 0.555
NGC427 18.080261666666665 -32.06114722222222 -- 0.473 0.303
NGC428 18.232120833333333 0.9815805555555556 -- 1.397 0.81
NGC429 18.23928375 0.34500305555555555 -- 0.757 0.257
NGC430 18.249705416666664 0.25250083333333334 -- 0.823 0.642
NGC431 18.518895833333332 33.704237500000005 -- 0.85 0.578
NGC432 17.942908333333335 -61.52768361111111 -- 0.707 0.608
NGC433 18.797916666666666 60.13305555555556 -- 7.0 7.0
NGC434 18.058890416666664 -58.24802916666667 -- 1.433 0.831
NGC435 18.499401250000002 2.071511666666667 -- 0.79 0.3
NGC436 19.000833333333333 58.82 8.8 5.4 5.4
NGC437 18.592847499999998 5.926953888888889 -- 0.76 0.562
NGC438 18.39231666666667 -37.90165611111111 -- 0.73 0.599
NGC439 18.4469725 -31.74720611111111 -- 1.463 1.024
NGC440 18.202145416666664 -58.282336388888886 -- 0.717 0.401
NGC441 18.463551250000002 -31.7883625 -- 0.96 0.845
NGC442 18.661013750000002 -1.020653611111111 -- 0.88 0.528
NGC443 18.781691666666667 33.377248888888886 -- 0.553 0.498
NGC444 18.9566 31.080230555555556 -- 0.72 0.216
NGC445 18.718722500000002 1.9174091666666666 -- 0.527 0.474
NGC446 19.015124583333332 4.2941575 -- 0.64 0.461
NGC447 18.906873333333333 33.0677925 -- 1.077 0.581
NGC448 18.818830416666668 -1.6262455555555555 -- 1.13 0.542
NGC449 19.03005333333333 33.08934777777778 14.96 0.453 0.281
NGC450 18.876902083333334 0.8608680555555556 -- 0.753 0.557
NGC451 19.051645833333332 33.064097222222216 -- 0.5 0.38
NGC452 19.06167125 31.033795555555557 -- 1.123 0.449
NGC454 18.595541666666666 -55.39872222222222 -- 1.45 0.62
NGC455 18.99019875 5.178673333333333 -- 0.93 0.67
NGC456 18.435000000000002 -73.29055555555556 -- 3.3 2.7
NGC457 19.887083333333333 58.278055555555554 6.4 15.0 15.0
NGC458 18.720583333333334 -71.55 11.66 2.6 2.3
NGC459 19.53414125 17.562315 -- 0.35 0.238
